"division","state","postcode","sa3_name","sa4_name"
"Throsby","ACT","2914","Gungahlin","Australian Capital Territory"
"Top Naas","ACT","2620","Tuggeranong","Australian Capital Territory"
"Torrens","ACT","2607","Woden","Australian Capital Territory"
"Tuggeranong","ACT","2900","Tuggeranong","Australian Capital Territory"
"Turner","ACT","2612","North Canberra","Australian Capital Territory"
"University Of Canberra","ACT","2617","North Canberra","Australian Capital Territory"
"Uriarra Forest","ACT","2611","Weston Creek","Australian Capital Territory"
"Uriarra Village","ACT","2611","Weston Creek","Australian Capital Territory"
"Wanniassa","ACT","2903","Tuggeranong","Australian Capital Territory"
"Waramanga","ACT","2611","Weston Creek","Australian Capital Territory"
"Watson","ACT","2602","North Canberra","Australian Capital Territory"
"Weetangera","ACT","2614","Belconnen","Australian Capital Territory"
"Weston","ACT","2611","Weston Creek","Australian Capital Territory"
"Weston Creek","ACT","2611","Weston Creek","Australian Capital Territory"
"Whitlam","ACT","2611","Weston Creek","Australian Capital Territory"
"Williamsdale","ACT","2620","Tuggeranong","Australian Capital Territory"
"Woden","ACT","2606","Woden","Australian Capital Territory"
"Wright","ACT","2611","Weston Creek","Australian Capital Territory"
"Yarralumla","ACT","2600","Woden","Australian Capital Territory"
