"division","state","postcode","sa3_name","sa4_name"
"Ben Bullen","NSW","2790","Blue Mountains","Sydney - Outer West and Blue Mountains"
"Ben Lomond","NSW","2365","Inverell - Tenterfield","New England and North West"
"Ben Venue","NSW","2350","Armidale","New England and North West"
"Benandarah","NSW","2536","Shoalhaven","Southern Highlands and Shoalhaven"
"Benanee","NSW","2737","Lower Murray","Murray"
"Benarca","NSW","2710","Griffith - Murrumbidgee (West)","Riverina"
"Bendalong","NSW","2539","Shoalhaven","Southern Highlands and Shoalhaven"
"Bendeela","NSW","2577","Southern Highlands","Southern Highlands and Shoalhaven"
"Bendemeer","NSW","2355","Tamworth - Gunnedah","New England and North West"
"Bendick Murrell","NSW","2803","Goulburn - Yass","Capital Region"
"Bendolba","NSW","2420","Great Lakes","Mid North Coast"
"Bendoura","NSW","2622","Shoalhaven","Southern Highlands and Shoalhaven"
"Beneree","NSW","2798","Orange","Central West"
"Benerembah","NSW","2680","Griffith - Murrumbidgee (West)","Riverina"
"Bengalla","NSW","2333","Upper Hunter","Hunter Valley exc Newcastle"
"Beni","NSW","2830","Dubbo","Far West and Orana"
"Bennetts Green","NSW","2290","Newcastle","Newcastle and Lake Macquarie"
"Benolong","NSW","2818","Dubbo","Far West and Orana"
"Bensville","NSW","2251","Gosford","Central Coast"
"Bentley","NSW","2480","Richmond Valley - Hinterland","Richmond - Tweed"
"Berala","NSW","2141","Auburn","Sydney - Parramatta"
"Berambing","NSW","2758","Blue Mountains","Sydney - Outer West and Blue Mountains"
"Beresfield","NSW","2322","Newcastle","Newcastle and Lake Macquarie"
"Bergalia","NSW","2537","South Coast","Capital Region"
"Berkeley","NSW","2506","Dapto - Port Kembla","Illawarra"
"Berkeley Vale","NSW","2261","Wyong","Central Coast"
"Berkshire Park","NSW","2765","Richmond - Windsor","Sydney - Outer West and Blue Mountains"
"Berlang","NSW","2622","Shoalhaven","Southern Highlands and Shoalhaven"
"Bermagui","NSW","2546","South Coast","Capital Region"
"Bermagui South","NSW","2546","South Coast","Capital Region"
"Berowra","NSW","2081","Hornsby","Sydney - North Sydney and Hornsby"
"Berowra Creek","NSW","2082","Hornsby","Sydney - North Sydney and Hornsby"
"Berowra Heights","NSW","2082","Hornsby","Sydney - North Sydney and Hornsby"
"Berowra Waters","NSW","2082","Hornsby","Sydney - North Sydney and Hornsby"
"Berrambool","NSW","2548","South Coast","Capital Region"
"Berrara","NSW","2540","Jervis Bay","Other Territories"
"Berremangra","NSW","2582","Tumut - Tumbarumba","Riverina"
"Berrico","NSW","2422","Taree - Gloucester","Mid North Coast"
"Berridale","NSW","2628","Snowy Mountains","Capital Region"
"Berrigal","NSW","2390","Tamworth - Gunnedah","New England and North West"
"Berrigan","NSW","2712","Moira","Shepparton"
"Berrilee","NSW","2159","Dural - Wisemans Ferry","Sydney - Baulkham Hills and Hawkesbury"
"Berrima","NSW","2577","Southern Highlands","Southern Highlands and Shoalhaven"
"Berringer Lake","NSW","2539","Shoalhaven","Southern Highlands and Shoalhaven"
"Berry","NSW","2535","Shoalhaven","Southern Highlands and Shoalhaven"
"Berry Jerry","NSW","2650","Wagga Wagga","Riverina"
"Berry Jerry","NSW","2701","Wagga Wagga","Riverina"
"Berry Mountain","NSW","2535","Shoalhaven","Southern Highlands and Shoalhaven"
"Berry Park","NSW","2321","Port Stephens","Hunter Valley exc Newcastle"
"Berthong","NSW","2594","Wagga Wagga","Riverina"
"Beryl","NSW","2852","Dubbo","Far West and Orana"
"Bethungra","NSW","2590","Wagga Wagga","Riverina"
"Bevendale","NSW","2581","Queanbeyan","Capital Region"
"Beverley Park","NSW","2217","Kogarah - Rockdale","Sydney - Inner South West"
"Beverly Hills","NSW","2209","Hurstville","Sydney - Inner South West"
"Bewong","NSW","2540","Jervis Bay","Other Territories"
"Bexhill","NSW","2480","Richmond Valley - Hinterland","Richmond - Tweed"
"Bexley","NSW","2207","Kogarah - Rockdale","Sydney - Inner South West"
"Bexley North","NSW","2207","Kogarah - Rockdale","Sydney - Inner South West"
"Bexley South","NSW","2207","Kogarah - Rockdale","Sydney - Inner South West"
"Biala","NSW","2581","Queanbeyan","Capital Region"
"Bibbenluke","NSW","2632","South Coast","Capital Region"
"Bickley Vale","NSW","2570","Bringelly - Green Valley","Sydney - South West"
"Biddon","NSW","2827","Dubbo","Far West and Orana"
"Bidgeemia","NSW","2642","Wodonga - Alpine","Hume"
"Bidwill","NSW","2770","Mount Druitt","Sydney - Blacktown"
"Bielsdown Hills","NSW","2453","Armidale","New England and North West"
"Big Hill","NSW","2579","Southern Highlands","Southern Highlands and Shoalhaven"
"Big Jacks Creek","NSW","2339","Tamworth - Gunnedah","New England and North West"
"Big Ridge","NSW","2330","Hawkesbury","Sydney - Baulkham Hills and Hawkesbury"
"Big Springs","NSW","2650","Wagga Wagga","Riverina"
"Big Yengo","NSW","2330","Hawkesbury","Sydney - Baulkham Hills and Hawkesbury"
"Bigga","NSW","2583","Bathurst","Central West"
"Bilambil","NSW","2486","Tweed Valley","Richmond - Tweed"
"Bilambil Heights","NSW","2486","Tweed Valley","Richmond - Tweed"
"Bilbul","NSW","2680","Griffith - Murrumbidgee (West)","Riverina"
"Bilgola","NSW","2107","Pittwater","Sydney - Northern Beaches"
"Bilgola Beach","NSW","2107","Pittwater","Sydney - Northern Beaches"
"Bilgola Plateau","NSW","2107","Pittwater","Sydney - Northern Beaches"
"Billeroy","NSW","2829","Dubbo","Far West and Orana"
"Billilingra","NSW","2630","Snowy Mountains","Capital Region"
"Billimari","NSW","2804","Lachlan Valley","Central West"
"Billinudgel","NSW","2483","Tweed Valley","Richmond - Tweed"
"Billyrimba","NSW","2372","Granite Belt","Darling Downs - Maranoa"
"Billys Creek","NSW","2453","Armidale","New England and North West"
"Billywillinga","NSW","2795","Orange","Central West"
"Bilpin","NSW","2758","Blue Mountains","Sydney - Outer West and Blue Mountains"
"Bimberi","NSW","2611","Weston Creek","Australian Capital Territory"
"Bimbi","NSW","2810","Lachlan Valley","Central West"
